o11,#genre#
Astro AOD,https://php.jdshipin.com:2096/TVOD/iptv.php?id=aod
华丽翡翠台,https://php.jdshipin.com:2096/TVOD/iptv.php?id=huali2
亚洲武侠,https://php.jdshipin.com:2096/TVOD/iptv.php?id=yzwx
TVB生活台,https://php.jdshipin.com:2096/TVOD/iptv.php?id=tvbsh
TVB娱乐新闻台,https://php.jdshipin.com:2096/TVOD/iptv.php?id=tvbylxw
无线新闻台,https://php.jdshipin.com:2096/TVOD/iptv.php?id=wxxw
TVB星河,https://php.jdshipin.com:2096/TVOD/iptv.php?id=xinghe

Smt,#genre#
八度空间,http://php.jdshipin.com/smt.php?id=TV8
天映,http://php.jdshipin.com/smt.php?id=Celestial
天映经典,http://php.jdshipin.com/smt.php?id=Celestial2
无线华丽,http://php.jdshipin.com/smt.php?id=Tvbjade
无线新闻台源1,http://php.jdshipin.com/smt.php?id=inews_twn
TVB明珠,http://php.jdshipin.com/smt.php?id=pearl_twn
无线Plus台,http://php.jdshipin.com:8880/smt.php?id=j2_twn
无线翡翠台,http://php.jdshipin.com:8880/smt.php?id=jade_twn
无线明珠台,http://php.jdshipin.com:8880/smt.php?id=pearl_twn
千禧经典台,http://php.jdshipin.com/smt.php?id=Tvbclassic
RHK31,http://php.jdshipin.com:8880/smt.php?id=rhk31_twn
VIUTV(粤),http://php.jdshipin.com:8880/smt.php?id=viu1_twn
VIUTV6,http://php.jdshipin.com:8880/smt.php?id=viusix_twn
AstroQJ,http://php.jdshipin.com/smt.php?id=Quanjia
AstroAec,http://php.jdshipin.com:8880/smt.php?id=AEC
AstroAec,http://php.jdshipin.com/smt.php?id=AEC
Astro欢喜台,http://php.jdshipin.com:8880/smt.php?id=Huahee
Astro欢喜台,http://php.jdshipin.com/smt.php?id=Huahee

